ID,Name,Lat,Long
AL092011,              IRENE,3.1,-6
AL052012,            ERNESTO,3.5,-8.3
AL082012,             GORDON,3,16.4
AL092012,              ISAAC,13.9,-38.3
AL182012,              SANDY,5.2,2.1
AL012014,             ARTHUR,6.8,-3.4
AL072014,                FAY,9.6,-2.3
AL082014,            GONZALO,0.7,-6.9
AL112015,            JOAQUIN,-3.1,-3.2
AL072000,              DEBBY,2.1,-7.7
AL152000,              KEITH,0,-1.3
AL112001,               IRIS,-1.1,-9.5
AL152001,           MICHELLE,3.5,2.2
AL082002,             GUSTAV,7.6,10.4
AL102002,            ISIDORE,1.6,-2.4
AL132002,               LILI,2.5,-4.4
AL042003,          CLAUDETTE,10.8,-13.4
AL132003,             ISABEL,7.5,-5
AL032004,            CHARLEY,6,-5.8
AL062004,            FRANCES,4.6,-15.2
AL092004,               IVAN,7.8,-2.3
AL112004,             JEANNE,-6.9,1.3
AL042005,             DENNIS,7.7,-5.5
AL052005,              EMILY,4.9,-12.4
AL122005,            KATRINA,4.9,-4.9
AL182005,               RITA,4.9,-6.1
AL252005,              WILMA,4,-5.7
AL272005,               BETA,-0.7,-2.1
