LAT,LNG,population
35.939004,-80.440264,14150
36.38972,-80.588467,2162
36.230931,-80.078657,2647
36.216506,-80.698517,5497
36.002457,-80.379291,25461
35.750492,-80.700075,6057
35.810049,-80.555744,840
36.447462,-80.218816,1936
36.382016,-80.756218,9597
36.197106,-80.518235,7655
36.286886,-80.237725,4032
36.102925,-80.804054,6421
36.319389,-80.338592,18106
36.512166,-80.215604,1560
36.089784,-80.456712,11873
36.519237,-80.841179,2733
36.379051,-79.969387,11138
36.441759,-79.988878,4385
35.922771,-80.580443,25839
36.489802,-80.629164,38374
36.169312,-80.393045,10893
36.425262,-80.487201,7554
36.352819,-80.064203,834
36.337246,-80.451911,6615
36.234398,-80.29607,8536
36.502219,-80.078264,2024
36.314134,-80.569112,1191
36.48259,-79.917692,8609
36.226442,-80.409707,3893
36.195946,-80.153401,7369
36.320755,-80.150453,10624
36.474276,-80.34785,3007
35.79254,-80.597888,2567
36.113864,-80.631592,14200
36.11085,-80.20043,18901
36.05823,-80.321496,33208
36.093687,-80.323532,28485
36.163377,-80.233787,39568
36.14391,-80.323157,45015
36.013158,-80.175491,46963
36.133928,-80.277635,2539
36.08926,-80.22496,2127
36.020708,-80.279817,34138
36.034172,-79.484829,63
35.728464,-79.786527,21108
35.638259,-79.850866,33216
35.607613,-79.390517,3795
35.56323,-79.542928,1676
35.343102,-79.753442,3933
36.480967,-79.279856,2580
36.206055,-79.671126,10294
36.027099,-79.491799,38807
36.190945,-79.380185,36954
35.265632,-79.775733,3929
36.207715,-79.169419,2148
35.892512,-79.70498,3390
36.089272,-80.012545,4136
35.60066,-80.090226,9079
35.329657,-79.648955,2100
36.066916,-79.198148,4337
36.215377,-79.48637,14173
35.783296,-79.716331,4524
36.154141,-79.582389,12486
35.566614,-79.349758,2003
35.966166,-79.347351,29827
36.010802,-79.291198,6006
35.954467,-79.987882,24023
35.963132,-80.041654,23934
35.911522,-79.936799,21414
36.012305,-80.030949,46690
36.090195,-79.086929,24286
35.187442,-79.625115,3100
35.988957,-79.928282,15906
35.951474,-79.635418,3141
36.116121,-80.081865,51136
36.497645,-79.750015,24071
36.418316,-79.168428,1662
35.738325,-80.207547,39787
35.871767,-80.31018,37211
35.885115,-79.567545,10336
35.752324,-80.386149,5190
36.11351,-79.665656,8750
36.14203,-79.266181,26412
36.526805,-79.233755,1685
35.225229,-79.980186,6176
36.174072,-79.992233,6710
36.479651,-79.472563,3402
35.756405,-79.209789,18306
35.930899,-79.758242,6962
36.31036,-79.19625,1051
36.51019,-79.403541,2243
35.697013,-79.625793,6650
35.840737,-79.802499,16959
36.341643,-79.657526,39351
35.463087,-79.584091,6704
36.464116,-79.556845,4008
35.514408,-79.195453,37947
35.384704,-79.137215,30236
35.945873,-79.317167,120
35.523759,-79.695909,5360
36.503728,-79.091478,1716
35.722265,-79.433691,18022
35.901313,-79.416062,5511
35.808253,-79.888213,6530
35.794966,-79.574007,2660
35.436865,-79.804272,3205
36.2666,-79.970625,7894
36.228232,-79.880061,14075
35.86058,-80.099288,46084
35.80928,-79.978025,15052
35.406855,-79.968144,8132
35.239166,-79.53506,9386
36.042675,-79.608729,7104
36.374099,-79.334513,4661
36.06914,-79.765159,21932
36.065973,-79.824383,21958
36.114921,-79.73703,44567
36.000542,-79.764677,56458
36.008599,-79.87816,46242
36.103667,-79.813712,17296
36.103729,-79.93983,15621
36.117523,-79.894239,52388
36.187509,-79.817677,28706
35.484941,-78.68457,17571
35.71525,-78.920992,30831
36.152948,-78.884485,3471
35.400309,-78.518278,14566
35.423475,-79.001029,5896
36.513542,-78.569494,1929
35.956874,-78.248144,2053
36.11864,-78.781001,10167
35.915783,-79.082604,14644
35.763414,-78.788528,32029
35.802102,-78.802719,40755
35.96674,-79.049419,32110
35.906197,-79.154855,36139
35.850468,-79.023121,23346
35.731139,-78.773206,19630
35.808578,-78.883326,39178
35.619732,-78.477026,36357
35.412121,-78.655865,6035
36.105618,-78.675202,12335
35.773618,-78.956926,9552
35.394563,-78.387595,12338
36.136109,-78.458098,13338
35.54401,-78.829824,38894
35.653948,-78.381715,18216
35.655625,-78.584906,42128
35.381174,-78.062514,40117
35.342994,-77.964411,594
35.373478,-77.896666,31364
36.326731,-78.409125,17289
36.371801,-78.397878,24319
35.676537,-78.813444,18692
35.615062,-78.891559,29363
36.264862,-79.083217,3770
35.618293,-78.136838,9133
36.19973,-78.446559,4449
35.78372,-78.478238,23006
35.385317,-78.862107,19471
36.101663,-78.232233,24112
36.432843,-78.05017,1962
36.4865,-78.302793,2937
35.562683,-78.204133,441
36.40839,-78.314748,346
35.779135,-78.198512,7509
35.628213,-79.102818,2288
35.857892,-78.827698,22623
35.640448,-78.990037,1938
36.41571,-78.229388,5008
36.361651,-78.648952,25255
35.510124,-78.245099,480
35.429065,-78.182749,8022
35.91949,-78.458036,3893
36.255106,-78.877494,6546
36.396597,-78.976099,11414
36.478361,-78.864911,14373
35.577524,-78.261311,17091
35.489638,-78.332894,22911
36.199608,-78.728985,3049
36.467324,-78.576588,289
36.292958,-78.935362,6921
35.986719,-78.554351,53078
36.322541,-78.133484,8370
35.78417,-78.388983,19589
35.557356,-78.672245,15244
35.999902,-78.435089,15619
35.841015,-78.30268,22181
35.773632,-78.634457,9450
35.664418,-78.652751,47033
35.822789,-78.561648,42204
35.790609,-78.654594,4495
35.742323,-78.715478,43210
35.813106,-78.721175,25188
35.809046,-78.647228,10429
35.843765,-78.633643,32964
35.7444,-78.546278,65648
35.855753,-78.707038,35028
35.926102,-78.711414,42690
35.945927,-78.619492,31516
35.8985,-78.635485,42166
35.866734,-78.541216,42294
35.907875,-78.77296,15199
35.99924,-78.897944,21288
35.959253,-78.806827,41937
36.042446,-78.828771,34517
36.022136,-78.975659,46282
35.954525,-78.953317,45023
35.924393,-78.832764,1047
36.095476,-78.904083,20035
35.89504,-78.923747,46660
35.913445,-77.7257,21740
35.903051,-77.856172,21227
35.989146,-77.842675,29058
36.207741,-77.084248,3992
35.304999,-76.756067,2331
35.804514,-78.095537,6629
35.467089,-76.759752,2225
36.016777,-77.741619,5091
35.531731,-76.525506,4377
35.815619,-77.36924,2593
35.634699,-77.937717,747
35.398663,-76.918808,1676
36.108992,-78.070319,2516
35.447982,-77.072002,7358
36.499725,-77.018505,1344
35.815994,-77.454941,330
36.421515,-77.241567,3088
35.322066,-76.874087,358
35.807012,-77.840457,8143
36.209653,-77.713733,8201
35.513209,-76.037172,1476
35.832804,-77.174424,103
35.595458,-76.206221,1379
35.696636,-77.513239,33
35.585152,-77.577194,9071
35.683966,-77.626467,1930
35.564168,-77.950309,4755
36.463087,-77.570553,3908
36.519809,-77.740128,2847
35.657296,-77.379187,52914
35.513865,-77.2046,5903
36.284912,-77.55688,4001
35.982689,-77.214599,514
35.908501,-77.276319,84
36.526749,-77.851988,1493
35.99556,-77.39999,1157
36.249497,-77.943156,2950
36.371267,-77.43999,2394
35.758568,-76.897527,2988
36.183169,-77.194668,936
36.077306,-77.215025,1544
36.412391,-77.880191,7247
35.640083,-78.030678,5268
35.750459,-77.636931,2977
36.50858,-77.285626,673
36.415601,-77.069301,6456
36.01368,-77.980574,17141
35.972793,-77.286253,1298
35.53175,-77.283888,55781
35.650061,-76.676197,2246
35.814846,-77.320207,71
36.490175,-77.188291,877
35.488144,-77.97173,11735
35.807034,-77.651372,4779
35.656239,-76.851605,1927
36.519869,-77.514565,855
36.267105,-77.313433,2258
36.418933,-77.71576,27236
35.802069,-77.260565,4619
36.192755,-77.253865,375
35.653592,-77.775232,397
36.130108,-77.393225,4861
35.455706,-76.504667,517
36.471995,-77.391332,1302
35.86688,-77.834929,1931
35.574391,-77.279486,311
35.730736,-78.080589,3304
35.978414,-77.436573,61
35.941655,-78.115598,7413
35.600536,-77.803696,3565
35.70352,-77.266635,1282
35.386414,-76.285856,984
35.904533,-77.511658,21591
35.589277,-77.71595,2560
35.582322,-77.012337,27468
36.41418,-77.587745,2521
36.097735,-77.742789,5227
35.812319,-77.05163,15182
35.688948,-77.896676,39723
35.790766,-77.976733,20130
36.324988,-77.210701,2265
36.288605,-76.268734,40699
36.290066,-76.993185,12007
35.33695,-75.517266,777
36.322012,-75.915131,747
36.355145,-75.997481,833
36.308171,-76.504283,1130
35.259518,-75.553269,1326
36.352062,-76.187929,4805
36.316755,-76.84221,1030
36.396245,-75.931116,598
36.168447,-76.832521,3140
35.856141,-76.193837,4217
36.505115,-76.604925,1915
36.341348,-75.852576,542
35.824539,-76.438656,1986
36.433134,-75.988221,1166
36.100786,-76.610814,12562
36.431079,-76.868092,1698
35.239423,-75.564581,1091
36.504334,-76.780733,4333
36.384296,-76.716,1505
36.238431,-75.843084,2361
36.102528,-75.816896,536
36.297368,-76.750654,901
35.224432,-75.678903,504
36.173431,-76.421264,11909
36.363435,-76.601536,1207
36.216959,-75.891578,1230
36.019229,-75.692172,10862
36.108909,-75.760514,6947
36.509694,-75.996382,2006
35.779985,-75.881366,1021
35.910154,-75.677781,6111
36.401576,-76.000725,340
36.066297,-76.759059,1356
36.484298,-76.13835,10144
35.886943,-75.606402,2789
35.073231,-75.998527,948
35.790464,-76.744743,7792
36.083046,-75.806214,545
36.292401,-75.930873,527
36.149743,-75.802262,1052
36.229468,-76.904956,366
35.732418,-75.509908,298
35.83914,-76.650404,3409
35.552458,-75.471299,244
36.371209,-76.055514,1323
36.243022,-75.989505,1285
36.487866,-76.350687,3449
35.727405,-75.739872,225
36.436768,-76.560679,1719
36.245324,-76.619385,2182
35.852855,-75.637424,1643
35.565235,-75.4661,82
35.97046,-76.921871,10416
36.211603,-76.456674,283
36.389005,-76.918212,2430
35.338552,-80.208179,26760
35.410444,-81.092252,1130
35.10459,-80.109911,611
35.407846,-80.107195,1121
35.211504,-81.037865,20048
35.314932,-81.283292,13463
35.247082,-81.670682,695
35.485727,-81.790396,5562
35.276702,-81.787707,123
35.525046,-81.641413,2322
35.400774,-81.403346,13612
35.567714,-80.602258,14175
35.382677,-80.523467,49160
35.406991,-80.685957,55435
35.472097,-80.900358,24390
35.233033,-81.079513,3105
35.41927,-81.328253,2749
35.353664,-81.178943,16642
35.480547,-80.792539,14654
35.495708,-81.018394,18287
35.678835,-80.437427,116
35.389195,-81.758135,7969
35.306241,-81.8726,21055
35.214656,-81.233227,34932
35.262879,-81.149075,36270
35.216936,-81.125003,31418
35.51763,-80.316291,2802
35.61407,-80.445205,1357
35.198574,-81.483781,5621
35.302748,-80.639937,16143
35.259155,-81.788612,722
35.404802,-81.20277,482
35.405286,-80.86402,52133
35.11471,-80.600423,31979
35.456746,-81.105685,7299
35.502816,-80.670173,25190
35.489602,-80.580668,23820
35.244245,-81.377832,25895
35.544276,-80.614646,2862
35.318233,-81.659574,248
35.454659,-81.559555,8342
34.987392,-79.933002,2158
35.485761,-81.254558,38570
35.296714,-80.393052,5369
35.271135,-81.100787,3579
35.258099,-81.078063,698
34.818432,-79.972265,78
34.998933,-80.351309,10311
35.060568,-80.692836,28040
35.115566,-80.713926,39586
35.252964,-80.518034,6422
34.934781,-80.681183,54
35.496966,-80.28853,387
35.066044,-80.509089,50365
34.889925,-80.549548,26311
35.230441,-81.747702,7554
35.58591,-80.772464,34339
35.565695,-80.898335,35454
34.851078,-80.016985,2801
35.328685,-81.026385,19807
35.399738,-80.408631,6622
35.659025,-80.698613,2525
35.474303,-80.190581,7594
35.210696,-80.154523,7476
35.231663,-80.327162,5399
34.844926,-80.265681,2878
35.087361,-80.89614,9453
35.02976,-80.217276,6123
35.563109,-80.236391,3120
35.514441,-80.437354,10495
35.348363,-81.994737,20111
35.706685,-80.464788,24734
35.619243,-80.393345,27614
35.68106,-80.563015,24697
35.342703,-81.576248,28098
35.24272,-81.599412,24735
35.694752,-80.431873,3108
35.361006,-81.922332,3929
35.207494,-80.428517,5233
35.389444,-81.037135,14085
35.680343,-80.868179,8619
35.506751,-81.967285,2362
35.55236,-81.425071,10230
35.35847,-81.429395,173
34.998714,-80.098785,12355
34.916155,-80.731415,45097
34.969035,-80.43958,8608
35.227271,-80.844194,11195
35.208185,-80.859107,11315
35.21462,-80.827014,4796
35.218791,-80.789601,43931
35.256127,-80.820999,11898
35.194148,-80.824585,9280
35.230466,-80.907243,34167
35.178714,-80.853985,20317
35.130509,-80.856685,42263
35.166342,-80.797285,28523
35.187703,-80.744556,38457
35.285986,-80.734388,37309
35.275252,-80.968144,34721
35.244979,-80.693471,53629
35.312103,-80.888711,47208
35.168896,-80.908285,24204
35.102697,-80.822129,37286
35.189567,-80.645408,49635
35.224605,-80.843094,0
35.322061,-80.739981,37547
35.337313,-80.803472,71048
35.112079,-80.764415,31525
35.127358,-80.946846,31478
35.052875,-80.817552,59664
35.133432,-81.009357,19283
35.226332,-80.843091,10
35.224815,-80.845277,0
35.0748,-78.884257,17165
35.085644,-78.959363,30909
35.025528,-78.989604,37147
35.052609,-78.907244,6073
34.958495,-78.896848,39683
35.138559,-78.981887,17631
35.17155,-79.017085,405
35.163471,-79.037914,3459
35.167792,-78.887741,34567
34.947752,-78.738133,18538
35.052985,-79.029453,54520
35.117305,-79.431532,11681
35.019873,-78.613574,4627
34.558122,-78.772715,9229
35.314791,-78.834376,3182
35.153922,-78.104138,508
35.269047,-79.154689,17646
35.354616,-79.416494,15433
35.003503,-78.337924,27042
34.909596,-79.82198,346
34.659049,-78.737911,482
35.286131,-78.017373,11830
35.272208,-78.568104,24908
34.657047,-78.561559,10670
35.107513,-79.759641,4607
35.31054,-78.732747,6751
34.471354,-79.134422,10765
35.119876,-78.174437,4257
35.191183,-78.651262,298
34.757362,-79.564875,1685
35.160499,-78.624575,3415
34.870289,-79.665721,12592
35.062266,-79.631662,1983
34.914974,-78.92702,33307
34.981159,-77.927059,3724
35.243159,-79.314018,305
34.84827,-79.563854,4759
34.767842,-79.45173,25641
35.23702,-78.790396,5018
34.901888,-79.082766,3125
34.607857,-78.934772,38738
34.670328,-79.07494,14263
34.960782,-79.554662,1202
34.707928,-79.322676,14809
35.172565,-78.052357,17144
35.230228,-78.362014,5061
35.172737,-79.725255,87
34.423373,-79.029416,2652
34.903171,-78.97957,6519
34.696872,-79.17762,14783
35.09347,-79.485597,2150
35.197454,-79.462959,15990
34.475744,-79.038553,102
34.992407,-79.242642,37991
34.826879,-79.213242,12666
34.930279,-79.778633,26388
34.971308,-78.517725,7056
34.576974,-79.262696,8080
34.796937,-78.961001,12097
35.050008,-78.47723,3029
34.853619,-79.129616,6319
35.179251,-79.376489,13921
35.219487,-78.955973,19942
35.021629,-78.698798,5302
34.735329,-78.800956,1579
34.981087,-78.18948,2005
35.21745,-79.241539,5164
35.138511,-78.741362,2375
34.914162,-79.397482,2732
34.989776,-78.064151,8112
34.784523,-78.709012,2140
34.272145,-77.962018,22094
34.221692,-77.880633,36063
34.263182,-77.86638,29152
34.15512,-77.862161,31296
34.301809,-77.793089,31962
34.143756,-77.928152,35573
34.073677,-78.48385,3886
34.505123,-78.167047,1521
34.02637,-78.189312,6641
34.308657,-78.39335,2290
34.290287,-78.699681,128
34.562055,-77.896281,10906
34.046841,-77.909659,6033
34.341211,-77.900216,8026
34.303437,-78.945367,1900
34.314321,-78.839503,7102
34.168033,-78.758709,1968
34.488505,-78.616673,5050
34.468325,-78.465485,1329
34.405955,-78.109229,2490
34.275102,-78.267215,2203
34.409483,-78.918844,1845
34.286816,-79.001382,1595
34.811462,-78.427414,3198
34.282924,-78.613428,1647
34.445036,-77.675712,17512
34.688305,-78.319958,2085
34.483968,-77.556317,5676
34.622297,-78.277327,1391
34.520158,-78.363175,1243
33.978811,-77.933743,1692
34.324418,-78.515265,2438
34.229818,-78.089383,27112
33.991603,-78.54957,694
34.886439,-78.076256,3829
34.678126,-77.650871,2545
34.111657,-78.631796,2117
34.374973,-78.287201,3658
34.449598,-77.886638,9905
34.814777,-78.09079,6444
34.541298,-77.418235,7652
33.967319,-78.058744,16126
34.026491,-78.289661,11680
34.109764,-78.776463,9799
34.78224,-78.021091,2457
33.912317,-78.102548,6531
34.741253,-77.875651,10103
33.917987,-78.591953,8703
33.89965,-78.519208,4375
33.926428,-78.46682,5839
33.964184,-78.403547,10644
34.29905,-78.691171,19658
34.64284,-78.042039,4588
34.100688,-78.016511,4903
34.225734,-77.797334,2473
35.242318,-77.514151,20389
35.224563,-77.634868,21642
35.099668,-77.824788,2737
34.987612,-76.804461,1502
34.901116,-76.345763,694
34.712152,-76.793416,2896
35.441502,-77.388857,10346
35.184068,-76.699387,2915
34.905126,-76.552834,11431
34.894823,-77.747493,7909
35.119725,-77.026974,404
34.99421,-76.323307,327
34.817902,-77.736618,2287
35.211357,-77.284601,2456
34.790939,-76.468564,426
35.132291,-77.686672,3132
35.261232,-77.371934,2489
35.259463,-77.030444,1140
34.732058,-76.538662,644
35.070527,-76.85476,2193
35.374768,-77.415297,7332
34.69804,-76.555565,1207
34.896013,-76.890788,23320
34.902869,-76.901473,2952
35.237681,-76.525812,137
35.416645,-77.565077,2175
34.694142,-77.203064,15469
34.754982,-77.503794,49252
34.736059,-77.375621,4699
34.71809,-77.308669,5368
34.799156,-77.356165,42696
34.669025,-77.36697,21884
35.321323,-77.780856,14093
35.303795,-76.555801,254
34.7296,-76.512376,454
35.478481,-77.586122,243
34.863364,-77.221865,5175
35.114002,-76.625583,963
34.73896,-76.749232,14429
35.126708,-76.977604,28921
35.081631,-77.126893,36176
34.781487,-76.857497,21432
35.070773,-76.68924,2585
35.027895,-77.736417,6531
34.98507,-77.148842,2176
34.878931,-77.589588,15102
34.707959,-76.883568,316
34.864837,-76.373188,522
35.196952,-77.856972,6363
34.759099,-76.510294,622
35.453274,-77.679538,12657
34.844258,-76.435553,214
34.748284,-77.150458,1588
35.138756,-76.741543,281
34.736767,-77.077619,11396
35.076923,-77.412405,3942
35.313558,-77.167497,8218
35.19273,-76.661661,369
34.812858,-76.505058,180
35.520683,-77.416661,23407
34.689904,-76.969688,3655
35.772393,-81.326659,50026
35.669886,-81.389208,28981
36.18028,-81.859151,6249
36.129632,-81.694929,3412
36.053487,-81.322174,2158
36.218005,-81.652138,33059
35.671692,-81.055604,5864
35.730324,-81.135305,9913
36.010955,-81.735254,885
35.650391,-81.53756,12397
35.737687,-81.207681,22759
36.45868,-81.660618,1876
36.023071,-81.920191,493
36.480702,-81.361979,2261
36.208166,-81.516769,2352
35.758603,-81.602494,1520
36.27565,-80.914624,10472
36.192676,-81.947333,2527
36.534512,-80.971492,1653
36.128356,-81.411775,1639
35.869567,-80.88964,36189
36.292577,-81.517632,2714
36.455555,-81.004437,1152
35.726329,-81.785107,479
36.340426,-81.36444,75
35.831976,-81.420172,20041
36.547476,-81.410356,637
35.972801,-80.757173,5225
36.305463,-81.126045,3901
35.939426,-81.063433,5522
35.718005,-81.419361,1746
35.845093,-81.477938,12302
36.404873,-81.399397,4719
36.218398,-80.820312,5745
36.529059,-81.540879,3521
36.426218,-81.277969,1494
35.978845,-81.547834,47703
36.07333,-81.847093,342
35.938084,-81.972993,89
36.33599,-81.212069,993
35.571426,-81.15839,11883
36.306214,-81.308783,7132
36.100032,-81.98717,46
36.058513,-81.159309,3495
35.763266,-81.749862,54996
36.021993,-81.942425,9488
35.637619,-81.235843,27022
36.215959,-81.148169,21134
35.968615,-80.856248,2249
36.021516,-81.899121,140
36.53203,-81.309408,614
36.209834,-81.375474,2571
35.725271,-81.470662,368
35.771453,-81.426154,559
36.407054,-80.990485,300
36.223445,-80.989818,3146
36.194308,-80.912494,2719
35.75267,-81.527898,597
36.483387,-81.326621,35
35.617717,-80.998758,5919
36.503161,-81.13503,6621
36.33186,-80.85534,3483
35.738099,-80.926089,32940
35.821719,-81.060844,5226
36.261211,-81.828379,2064
35.922678,-81.223058,25910
35.588255,-80.965153,1129
36.390439,-80.911007,1697
36.334824,-81.608201,2141
36.360792,-81.059832,2076
