population,minimum_age,maximum_age,gender,zipcode,geo_id
14150,,,,27006,8600000US27006
2162,,,,27007,8600000US27007
2647,,,,27009,8600000US27009
5497,,,,27011,8600000US27011
25461,,,,27012,8600000US27012
6057,,,,27013,8600000US27013
840,,,,27014,8600000US27014
1936,,,,27016,8600000US27016
9597,,,,27017,8600000US27017
7655,,,,27018,8600000US27018
4032,,,,27019,8600000US27019
6421,,,,27020,8600000US27020
18106,,,,27021,8600000US27021
1560,,,,27022,8600000US27022
11873,,,,27023,8600000US27023
2733,,,,27024,8600000US27024
11138,,,,27025,8600000US27025
4385,,,,27027,8600000US27027
25839,,,,27028,8600000US27028
38374,,,,27030,8600000US27030
10893,,,,27040,8600000US27040
7554,,,,27041,8600000US27041
834,,,,27042,8600000US27042
6615,,,,27043,8600000US27043
8536,,,,27045,8600000US27045
2024,,,,27046,8600000US27046
1191,,,,27047,8600000US27047
8609,,,,27048,8600000US27048
3893,,,,27050,8600000US27050
7369,,,,27051,8600000US27051
10624,,,,27052,8600000US27052
3007,,,,27053,8600000US27053
2567,,,,27054,8600000US27054
14200,,,,27055,8600000US27055
18901,,,,27101,8600000US27101
33208,,,,27103,8600000US27103
28485,,,,27104,8600000US27104
39568,,,,27105,8600000US27105
45015,,,,27106,8600000US27106
46963,,,,27107,8600000US27107
2539,,,,27109,8600000US27109
2127,,,,27110,8600000US27110
34138,,,,27127,8600000US27127
63,,,,27201,8600000US27201
21108,,,,27203,8600000US27203
33216,,,,27205,8600000US27205
3795,,,,27207,8600000US27207
1676,,,,27208,8600000US27208
3933,,,,27209,8600000US27209
2580,,,,27212,8600000US27212
10294,,,,27214,8600000US27214
38807,,,,27215,8600000US27215
36954,,,,27217,8600000US27217
3929,,,,27229,8600000US27229
2148,,,,27231,8600000US27231
3390,,,,27233,8600000US27233
4136,,,,27235,8600000US27235
9079,,,,27239,8600000US27239
2100,,,,27242,8600000US27242
4337,,,,27243,8600000US27243
14173,,,,27244,8600000US27244
4524,,,,27248,8600000US27248
12486,,,,27249,8600000US27249
2003,,,,27252,8600000US27252
29827,,,,27253,8600000US27253
6006,,,,27258,8600000US27258
24023,,,,27260,8600000US27260
23934,,,,27262,8600000US27262
21414,,,,27263,8600000US27263
46690,,,,27265,8600000US27265
24286,,,,27278,8600000US27278
3100,,,,27281,8600000US27281
15906,,,,27282,8600000US27282
3141,,,,27283,8600000US27283
51136,,,,27284,8600000US27284
24071,,,,27288,8600000US27288
1662,,,,27291,8600000US27291
39787,,,,27292,8600000US27292
37211,,,,27295,8600000US27295
10336,,,,27298,8600000US27298
5190,,,,27299,8600000US27299
8750,,,,27301,8600000US27301
26412,,,,27302,8600000US27302
1685,,,,27305,8600000US27305
6176,,,,27306,8600000US27306
6710,,,,27310,8600000US27310
3402,,,,27311,8600000US27311
18306,,,,27312,8600000US27312
6962,,,,27313,8600000US27313
1051,,,,27314,8600000US27314
2243,,,,27315,8600000US27315
6650,,,,27316,8600000US27316
16959,,,,27317,8600000US27317
39351,,,,27320,8600000US27320
6704,,,,27325,8600000US27325
4008,,,,27326,8600000US27326
37947,,,,27330,8600000US27330
30236,,,,27332,8600000US27332
120,,,,27340,8600000US27340
5360,,,,27341,8600000US27341
1716,,,,27343,8600000US27343
18022,,,,27344,8600000US27344
5511,,,,27349,8600000US27349
6530,,,,27350,8600000US27350
2660,,,,27355,8600000US27355
3205,,,,27356,8600000US27356
7894,,,,27357,8600000US27357
14075,,,,27358,8600000US27358
46084,,,,27360,8600000US27360
15052,,,,27370,8600000US27370
8132,,,,27371,8600000US27371
9386,,,,27376,8600000US27376
7104,,,,27377,8600000US27377
4661,,,,27379,8600000US27379
21932,,,,27401,8600000US27401
21958,,,,27403,8600000US27403
44567,,,,27405,8600000US27405
56458,,,,27406,8600000US27406
46242,,,,27407,8600000US27407
17296,,,,27408,8600000US27408
15621,,,,27409,8600000US27409
52388,,,,27410,8600000US27410
28706,,,,27455,8600000US27455
17571,,,,27501,8600000US27501
30831,,,,27502,8600000US27502
3471,,,,27503,8600000US27503
14566,,,,27504,8600000US27504
5896,,,,27505,8600000US27505
1929,,,,27507,8600000US27507
2053,,,,27508,8600000US27508
10167,,,,27509,8600000US27509
14644,,,,27510,8600000US27510
32029,,,,27511,8600000US27511
40755,,,,27513,8600000US27513
32110,,,,27514,8600000US27514
36139,,,,27516,8600000US27516
23346,,,,27517,8600000US27517
19630,,,,27518,8600000US27518
39178,,,,27519,8600000US27519
36357,,,,27520,8600000US27520
6035,,,,27521,8600000US27521
12335,,,,27522,8600000US27522
9552,,,,27523,8600000US27523
12338,,,,27524,8600000US27524
13338,,,,27525,8600000US27525
38894,,,,27526,8600000US27526
18216,,,,27527,8600000US27527
42128,,,,27529,8600000US27529
40117,,,,27530,8600000US27530
594,,,,27531,8600000US27531
31364,,,,27534,8600000US27534
17289,,,,27536,8600000US27536
24319,,,,27537,8600000US27537
18692,,,,27539,8600000US27539
29363,,,,27540,8600000US27540
3770,,,,27541,8600000US27541
9133,,,,27542,8600000US27542
4449,,,,27544,8600000US27544
23006,,,,27545,8600000US27545
19471,,,,27546,8600000US27546
24112,,,,27549,8600000US27549
1962,,,,27551,8600000US27551
2937,,,,27553,8600000US27553
441,,,,27555,8600000US27555
