ZIP,LAT,LNG,DIST,POPULATION,IMPACT,POP_DENSITY
27006,35.939004,-80.440264,326.41166492573086,14150,LOW,MEDIUM
27007,36.38972,-80.58846700000002,366.3346859200155,2162,LOW,LOW
27009,36.230931,-80.07865699999998,319.8538680533988,2647,LOW,LOW
27011,36.216506,-80.69851700000002,362.84584222115,5497,LOW,LOW
27012,36.002457,-80.37929100000002,325.7310818295902,25461,LOW,HIGH
27013,35.750492,-80.700075,336.19687259693455,6057,LOW,LOW
27014,35.810049,-80.55574399999998,327.90681898951124,840,LOW,LOW
27016,36.447462,-80.218816,345.25734473522647,1936,LOW,LOW
27017,36.382016,-80.756218,377.7626541294428,9597,LOW,LOW
27018,36.197106,-80.518235,348.40295822421996,7655,LOW,LOW
27019,36.286886,-80.237725,334.7375338140438,4032,LOW,LOW
27020,36.102925,-80.80405400000002,363.80190583774777,6421,LOW,LOW
27021,36.319389,-80.338592,343.9951449120233,18106,LOW,MEDIUM
27022,36.512166,-80.215604,349.9540997662442,1560,LOW,LOW
27023,36.089784,-80.456712,336.9769747273781,11873,LOW,MEDIUM
27024,36.519237,-80.841179,393.019230079142,2733,LOW,LOW
27025,36.379051,-79.969387,323.82194513664444,11138,LOW,MEDIUM
27027,36.44175900000001,-79.988878,329.96642139445305,4385,LOW,LOW
27028,35.92277100000001,-80.580443,336.1659645786346,25839,LOW,HIGH
27030,36.48980200000001,-80.629164,376.1209177919257,38374,LOW,HIGH
27040,36.169312,-80.393045,337.52475268541593,10893,LOW,MEDIUM
27041,36.425262,-80.487201,361.7504018408485,7554,LOW,LOW
27042,36.352819,-80.064203,327.9518044827855,834,LOW,LOW
27043,36.337246,-80.451911,353.1264320722926,6615,LOW,LOW
27045,36.234398,-80.29607,335.0748170353877,8536,LOW,LOW
27046,36.502219,-80.078264,340.3731404055827,2024,LOW,LOW
27047,36.314134,-80.569112,359.82701471180104,1191,LOW,LOW
27048,36.48259,-79.917692,328.77127041824815,8609,LOW,LOW
27050,36.226442,-80.409707,342.55106462631085,3893,LOW,LOW
27051,36.195946,-80.153401,322.4513760680068,7369,LOW,LOW
27052,36.320755,-80.150453,331.2780966102289,10624,LOW,MEDIUM
27053,36.474276,-80.34785,355.8225973798905,3007,LOW,LOW
27054,35.79254,-80.597888,330.273151412357,2567,LOW,LOW
27055,36.113864,-80.631592,351.4598664801964,14200,LOW,MEDIUM
27101,36.11085,-80.20043000000003,319.82575155146804,18901,LOW,MEDIUM
27103,36.05823,-80.321496,325.0353455504797,33208,LOW,HIGH
27104,36.093687,-80.323532,327.50231040371966,28485,LOW,HIGH
27105,36.163377,-80.233787,325.78474241295237,39568,LOW,HIGH
27106,36.14391,-80.323157,330.8119383682802,45015,LOW,HIGH
27107,36.01315800000001,-80.17549100000002,311.47663648987185,46963,LOW,HIGH
27109,36.133928,-80.277635,326.88560937561186,2539,LOW,LOW
27110,36.08926,-80.22496,320.11161359431856,2127,LOW,LOW
27127,36.020708,-80.27981700000002,319.558132861862,34138,LOW,HIGH
27201,36.034172,-79.484829,265.95368283443986,63,LOW,LOW
27203,35.728464,-79.786527,264.50169110804967,21108,LOW,MEDIUM
27205,35.63825900000001,-79.850866,263.6112782011829,33216,LOW,HIGH
27207,35.607613,-79.390517,227.86249975519854,3795,MEDIUM,LOW
27208,35.56323,-79.542928,235.9085387390283,1676,MEDIUM,LOW
27209,35.343102,-79.753442,239.31158530926052,3933,MEDIUM,LOW
27212,36.480967,-79.27985600000002,292.3842674498776,2580,LOW,LOW
27214,36.206055,-79.671126,291.3128739375535,10294,LOW,MEDIUM
27215,36.027099,-79.491799,265.83671309186656,38807,LOW,HIGH
27217,36.190945,-79.380185,272.4148735595788,36954,LOW,HIGH
27229,35.26563200000001,-79.775733,237.23050313738236,3929,MEDIUM,LOW
27231,36.207715,-79.16941899999998,261.9998381393879,2148,LOW,LOW
27233,35.892512,-79.70498,269.87938586119907,3390,LOW,LOW
27235,36.089272,-80.01254499999997,305.1452770500177,4136,LOW,LOW
27239,35.60066,-80.090226,279.860112190476,9079,LOW,LOW
27242,35.329657,-79.648955,230.2559347508208,2100,MEDIUM,LOW
27243,36.066916,-79.198148,251.33005606920196,4337,LOW,LOW
27244,36.215377,-79.48637,280.7352714749702,14173,LOW,MEDIUM
27248,35.783296,-79.71633100000003,263.0702454372745,4524,LOW,LOW
27249,36.154141,-79.582389,281.6198671810119,12486,LOW,MEDIUM
27252,35.566614,-79.349758,222.14282736071365,2003,MEDIUM,LOW
27253,35.96616599999999,-79.347351,251.90869110064344,29827,LOW,HIGH
27258,36.01080200000001,-79.291198,252.09756079722249,6006,LOW,LOW
27260,35.954467,-79.987882,294.0698803176139,24023,LOW,MEDIUM
27262,35.963132,-80.04165400000002,298.5025616412492,23934,LOW,MEDIUM
27263,35.911522,-79.936799,287.51449606003024,21414,LOW,MEDIUM
27265,36.012305,-80.03094899999998,301.0738016262527,46690,LOW,HIGH
27278,36.090195,-79.086929,247.11587321733134,24286,MEDIUM,MEDIUM
27281,35.187442,-79.62511500000002,221.13642338588622,3100,MEDIUM,LOW
27282,35.988957,-79.928282,292.2255639283554,15906,LOW,MEDIUM
27283,35.951474,-79.635418,269.4290417792961,3141,LOW,LOW
27284,36.116121,-80.08186500000002,311.8542837802389,51136,LOW,HIGH
27288,36.497645,-79.750015,319.883570609826,24071,LOW,MEDIUM
27291,36.418316,-79.168428,280.9869155686369,1662,LOW,LOW
27292,35.738325,-80.20754699999998,296.7864339982969,39787,LOW,HIGH
27295,35.871767,-80.31018,312.51331602877633,37211,LOW,HIGH
27298,35.885115,-79.567545,259.95707161783287,10336,LOW,MEDIUM
27299,35.752324,-80.386149,311.44030698874076,5190,LOW,LOW
27301,36.11351,-79.66565600000001,283.7071448494578,8750,LOW,LOW
27302,36.14203,-79.266181,261.6608361007949,26412,LOW,HIGH
