StormName,Year,Category,Maximum Wind,Landfall Wind
            KATRINA,2005,2,100,105
DOLLY,2008,1,65,65
ELENA,1985,2,90,105
BETSY,1965,4,105,150
JUAN,1985,1,65,65
IKE,2008,1,85,70
ERNESTO,2012,1,45,80
ANDREW,1992,3,100,114
WILMA (S FL),2005,2,85,105
IRENE (NC),2011,1,90,75
CHARLEY (SW FL),2004,3,90,130
IVAN (AL/NW FL),2004,2,140,105
RITA (N TX/W LA),2005,2,155,100
FRANCES (FL),2004,1,100,90
HUGO (SC),1989,3,90,120
JEANNE (FL),2004,2,80,100
FLOYD (Mid-Atlantic & NE U.S.),1999,1,105,90
GUSTAV (LA),2008,1,110,90
ISABEL (Mid-Atlantic),2003,1,95,90
FRAN (NC),1996,2,95,100
OPAL (NW FL/AL),1995,2,65,100
AGNES (FL/NE U.S.),1972,1,65,65
ALICIA (N TX),1983,2,65,100
OPHELIA (NC),2005,1,65,65
"BOB (NC, NE U.S)",1991,1,65,95
